Power,TEG_data
0.0005218670033769149,0.0002937999139327709
0.00052180703492761,0.000298238479104394
0.000521808503741657,0.0003019561824142025
0.00052182823639275,0.0003028876331345247
0.0005218144383659939,0.00030556859129475696
0.0005218975374989439,0.00030928629460456544
0.000521898325642395,0.00031021774532488785
0.00052196330219104,0.0003135223704891619
0.000521880316919808,0.0003164139175079019
0.0005218681586881279,0.0003172400737989704
0.0005219312066569799,0.00032363873526901094
0.000521985666231161,0.0003252910478511482
0.0005219358951779099,0.00032827978972766077
0.00052187953473783,0.0003297296130227713
0.000521944510525568,0.0003309688474593741
0.000521900667397504,0.0003336498056196063
0.000521950727036256,0.0003352049233439705
0.00052196724636001,0.00033560990191802383
0.000522085547702418,0.00033685723592610773
0.000522082044073216,0.00033736750892941476
0.0005218575323799,0.0003407774285229426
0.000521989912465856,0.0003431506029668945
0.000521939470718664,0.00034645522813116865
0.000522016619305304,0.0003534775566052511
0.0005220322700680041,0.0003541984184670659
0.0005219895787218561,0.0003578108273476205
0.0005218927979240161,0.00036091296322486805
0.000521835241369428,0.0003662748795453324
0.000521916701816293,0.0003707134447169556
0.0005218670033769149,0.0003762940494674088
0.000521877892654821,0.0003766018331836892
0.000521930080071324,0.00038382665094479837
0.00052185918508416,0.00038403723980330595
0.000521850156624426,0.00038816802125864864
0.0005219057412566339,0.000394258899012409
0.000521860661897745,0.0003954981334490118
0.0005219307922110169,0.00039797660232221736
0.000521924520267024,0.00040665124337843704
0.0005218834468183679,0.0004078823782435587
0.0005219370518811469,0.00041066863083304486
0.000521967990901824,0.00041397325599731903
0.0005220001670424801,0.00041469411785913354
0.000521944838080668,0.0004175856648778735
0.0005217933057699361,0.0004217164463332162
0.000521826224928831,0.00042336875891535333
0.000521865362310822,0.0004242921100641947
0.00052189791053204,0.00043224588925859953
0.000521881838030535,0.00043235118368785343
0.00052191788797664,0.00043328263440817574
0.000521919459062976,0.0004360688869976618
0.000521882249082852,0.0004403049628822583
0.00052194846620671,0.00044267813732621003
0.0005219171414019899,0.0004443304499083473
0.00052198916881347,0.00044442764476612
0.000522050352796414,0.000448347837362955
0.000521911588066143,0.0004489715043669969
0.000522014708282496,0.0004490767987962508
0.0005219633698868001,0.0004503160332328535
0.000521983734290972,0.00045238142396052496
0.0005219460693377919,0.00045341006953862
0.000521935449336648,0.0004544468146881963
0.0005220119179389401,0.00045723306727768226
0.0005219617311047039,0.0004614610435907978
0.0005219354808266829,0.00046167163244930536
0.0005219476404241279,0.00046322675017366967
0.0005218998843915,0.00046879115578116074
0.000521992708937636,0.0004687992553526417
0.000521923747726962,0.00046930952835594895
0.000522015082871198,0.00046930952835594895
0.00052185873163878,0.0004694229223566838
0.000521877622922243,0.0004694229223566838
0.000521848970623209,0.0004694229223566838
0.000521847808623274,0.0004694229223566838
0.000521966095965828,0.0004694229223566838
0.000521903797296064,0.0004694229223566838
0.000521897126796108,0.0004694229223566838
0.0005218725586378161,0.0004694229223566838
0.000521920246318785,0.0004694229223566838
0.000521871621346512,0.0004694229223566838
0.000521923787110143,0.0004694229223566838
0.000521884607962788,0.0004694229223566838
0.0005218975374989439,0.0004694229223566838
0.000521831739166941,0.0004694229223566838
0.000521750670214921,0.0004694229223566838
0.00052190849828096,0.0004694229223566838
0.000521828539033023,0.0004694229223566838
0.000521901827495286,0.0004694229223566838
0.000521934336428805,0.0004694229223566838
0.000521864246448594,0.0004694229223566838
0.00052191554552424,0.0004694229223566838
0.000521852100268044,0.0004694229223566838
0.00052194846620671,0.0004694229223566838
0.00052196724636001,0.00046930952835594895
0.00052181758002897,0.0004687992553526417
0.000521887281208356,0.00046642608090869005
0.0005219116281795199,0.00046549463018836763
0.00052186499080146,0.0004642553957517649
0.000521978616828948,0.0004638423176062306
0.00052187990726361,0.0004638423176062306
0.000522009184053792,0.000463121455744416
0.000521921390431959,0.00046105606501674464
0.000522006053711022,0.00045733836170693616
0.00052189679009861,0.00045702247841917457
0.000521882209635264,0.00045681998913214806
0.000521833310125917,0.00045558075469554523
0.0005219061801752601,0.0004541390309719158
0.000521937131438675,0.0004540337365426619
0.000521831739166941,0.0004536206583971277
0.000521890495076025,0.00045238142396052496
0.0005217768734036129,0.0004499029550873193
0.0005218532863327561,0.0004485584262214626
0.00052174913492754,0.00044815344764740945
0.00052183997789868,0.00044742448621411365
0.000521722866648176,0.0004473272913563408
0.00052181876701548,0.00044722199692708714
0.000521794917477762,0.00044701140806857945
0.000521876813130596,0.00044556158477346893
0.00052179684856266,0.0004452619006286696
0.0005218294338413999,0.0004452538010571885
0.0005218046348875001,0.00044442764476612
0.0005218623148559849,0.0004441198610498396
0.000521970036355386,0.00044391737176281297
0.000521795617588728,0.00044339899918802476
0.000521759984693999,0.00044339899918802476
0.000522050727099264,0.00044339899918802476
0.0005219413806270079,0.00044339899918802476
0.0005220001300402,0.00044339899918802476
