Power,TEG_data
0.000521951991581784,-2.661803599475577e-05
0.000521874020055006,-2.361606042023556e-05
0.0005219433115512769,-2.3202274597801717e-05
0.000521852123284544,-1.834231954607864e-05
0.0005219460693377919,-1.2135532209570825e-05
0.000521783546562688,-9.239031452533772e-06
0.000521880690302251,-8.93072044758314e-06
0.000521803560090309,-6.861791335413905e-06
0.000521951222976807,-3.466929939553785e-07
0.000521933549743552,6.168405347503148e-06
0.000521895966412608,1.2586142318977273e-05
0.000521874044848576,6.890502174887702e-06
0.0005220288015345921,2.0334484680238732e-05
0.000521750226693654,1.826555556806936e-05
0.0005218505293090681,2.520255317946043e-05
0.000521848597906944,2.778262948404799e-05
0.000521855265457216,3.50198246528911e-05
0.000521838823156875,3.523077428785746e-05
0.000521877187021248,4.805002133580826e-05
0.0005217149535146401,4.55754198487038e-05
0.000521870914950016,5.694235979438679e-05
0.0005217874181483751,5.694235979438673e-05
0.0005217996056182202,6.336009676586086e-05
0.000521853658953903,7.3899465066676e-05
0.000521938622935611,7.928679420581483e-05
0.000521816463881388,8.517715708987328e-05
0.000521855229912879,8.321370279518704e-05
0.00052181329358284,9.449139481838433e-05
0.000521807887151922,9.737978212792254e-05
0.0005218630601615251,0.00010669401985643364
0.000521779959631952,0.0001067913812264181
0.000521841512804976,0.00011558635831501222
0.00052172953461321,0.00012240976766142152
0.000521734568736878,0.0001273751975306275
0.0005218098193799789,0.00012395943613367373
0.000521763113767634,0.00012985791246523083
0.0005218136643941521,0.0001290222273728645
0.000521754955395507,0.00013389029587208625
0.0005218583953557759,0.00014495703826031706
0.0005218861666802701,0.00014298547051813228
0.00052173539597628,0.00015084740114437552
0.00052179684856266,0.00015178044760672636
0.000521877548193323,0.00015198328379419402
0.000521789390967033,0.0001553990451911479
0.0005218286095221061,0.00016171130734513888
0.000521786230177338,0.00016191414353260644
0.0005218892963886001,0.00017235615046343723
0.00052178082851115,0.00017877388743491135
0.0005219057412566339,0.00017949598426229583
0.00052183572391386,0.00018311458184671744
0.000521832563613225,0.00018911041954825905
0.000521888135529152,0.0001919095589353115
0.00052188352030926,0.00019324827777259752
0.000521875206564432,0.00019925222892163777
0.000521914346328606,0.00020162946903875783
0.000521874391818348,0.00020451785634829605
0.000521889668279181,0.00021073275713230256
