Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time,Time_stamp
-1.04e-06,0.0020104951,0.69748674,-5.7576e-05,0.000120466,7872.429201841354,"03 04 2019, 19_59_29"
-9.1e-07,0.0020104697,0.69752051,-5.7147e-05,0.000120115,7874.023793935776,"03 04 2019, 19_59_31"
-1.04e-06,0.0020104443,0.69745816,-5.7394e-05,0.000120544,7875.620607376099,"03 04 2019, 19_59_33"
5.2e-07,0.0020104951,0.69746206,-5.7355e-05,0.000120089,7877.215594768524,"03 04 2019, 19_59_34"
-1.169e-06,0.0020104951,0.69746726,-5.7368e-05,0.000120544,7878.808652162552,"03 04 2019, 19_59_36"
-1.3e-07,0.0020104951,0.69748934,-5.7589e-05,0.000120492,7880.410145282745,"03 04 2019, 19_59_37"
-5.2e-07,0.0020105206,0.69750232,-5.7706e-05,0.00012005,7882.000400304794,"03 04 2019, 19_59_39"
-5.2e-07,0.0020106732,0.69749063,-5.7251e-05,0.000119647,7883.589198589325,"03 04 2019, 19_59_41"
-1.04e-06,0.002010368,0.69744258,-5.7108e-05,0.000120037,7885.188759088516,"03 04 2019, 19_59_42"
-2.6e-07,0.0020107241,0.69740621,-5.7745e-05,0.000119621,7886.77939081192,"03 04 2019, 19_59_44"
-5.2e-07,0.0020105714,0.69748284,-5.729e-05,0.00012005,7888.379569768906,"03 04 2019, 19_59_45"
-5.2e-07,0.002010546,0.6975231,-5.7173e-05,0.00011957,7889.978813409805,"03 04 2019, 19_59_47"
-5.2e-07,0.0020104697,0.69751012,-5.7381e-05,0.00011931,7891.569049358368,"03 04 2019, 19_59_49"
-3.9e-07,0.0020106732,0.69747245,-5.7368e-05,0.000119401,7893.169409990311,"03 04 2019, 19_59_50"
-6.5e-07,0.0020105206,0.69749583,-5.7342e-05,0.000119699,7894.771387338638,"03 04 2019, 19_59_52"
-9.1e-07,0.0020104697,0.69743479,-5.7251e-05,0.000120258,7896.3673532009125,"03 04 2019, 19_59_53"
-6.5e-07,0.0020104188,0.69748414,-5.7368e-05,0.000119725,7897.967334270477,"03 04 2019, 19_59_55"
-6.5e-07,0.0020103934,0.69745687,-5.7186e-05,0.000120089,7899.559270143509,"03 04 2019, 19_59_56"
-1.559e-06,0.0020105714,0.69744128,-5.7264e-05,0.000119673,7901.159032344818,"03 04 2019, 19_59_58"
-9.1e-07,0.0020103171,0.69743479,-5.7043e-05,0.000119531,7902.7591552734375,"03 04 2019, 20_00_00"
-6.5e-07,0.0020104188,0.69748414,-5.7615e-05,0.000119297,7904.359135150909,"03 04 2019, 20_00_01"
-2.6e-07,0.0020104188,0.69747245,-5.7511e-05,0.000119985,7905.957129478455,"03 04 2019, 20_00_03"
-9.1e-07,0.0020105969,0.69745816,-5.7173e-05,0.000120375,7907.54928445816,"03 04 2019, 20_00_04"
-5.2e-07,0.0020104443,0.69748674,-5.7706e-05,0.000119998,7909.149530649185,"03 04 2019, 20_00_06"
-1.04e-06,0.0020104951,0.69745946,-5.7329e-05,0.000119427,7910.750030517578,"03 04 2019, 20_00_08"
0.0,0.002010546,0.69746466,-5.7433e-05,0.000119972,7912.339996814728,"03 04 2019, 20_00_09"
-7.8e-07,0.002010546,0.69746985,-5.7563e-05,0.000119985,7913.9395163059235,"03 04 2019, 20_00_11"
-7.8e-07,0.0020106478,0.69747765,-5.7355e-05,0.000120232,7915.539330005646,"03 04 2019, 20_00_12"
0.0,0.0020103934,0.69749063,-5.7667e-05,0.000120609,7917.137009382248,"03 04 2019, 20_00_14"
-3.9e-07,0.0020103934,0.69754388,-5.7407e-05,0.000120245,7918.727172136307,"03 04 2019, 20_00_16"
2.6e-07,0.0020105206,0.69744258,-5.7186e-05,0.000119634,7920.325244665146,"03 04 2019, 20_00_17"
-1.169e-06,0.0020104951,0.69749063,-5.7459e-05,0.000120219,7921.918683767319,"03 04 2019, 20_00_19"
-5.2e-07,0.0020105969,0.69747245,-5.7589e-05,0.000119881,7923.517062902451,"03 04 2019, 20_00_20"
1.3e-07,0.002010546,0.69748934,-5.7251e-05,0.000120154,7925.120903015137,"03 04 2019, 20_00_22"
