Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time
-0.003018506,-8.7843e-06,-0.003032017,-0.006603848,-0.006901938,635.8466446399689
-0.003067325,-8.8838e-06,-0.003061971,-0.006551664,-0.006847153,637.6163833141327
-0.003050372,-8.635e-06,-0.003049735,-0.006499913,-0.006792993,639.3965275287628
-0.003073316,-8.5852e-06,-0.003043361,-0.00644885,-0.006739343,641.1744766235352
-0.003034949,-8.635e-06,-0.003030487,-0.006397775,-0.006685578,642.9591541290283
-0.003062226,-8.7096e-06,-0.003029978,-0.006347413,-0.0066337,644.7246067523956
-0.003063756,-8.7843e-06,-0.003058147,-0.006297422,-0.006581745,646.4943964481354
-0.003068599,-8.7096e-06,-0.003065158,-0.006247991,-0.00652923,648.2650871276855
-0.003068217,-8.7096e-06,-0.003074845,-0.006198621,-0.006476587,650.0552158355713
-0.003028703,-8.7345e-06,-0.003053941,-0.00614891,-0.006424288,651.8244383335114
-0.003078159,-8.9336e-06,-0.003074718,-0.006100843,-0.00637255,653.5870316028595
-0.003092818,-8.7843e-06,-0.003098681,-0.00605233,-0.006320467,655.3581295013428
-0.003080454,-8.6847e-06,-0.003060952,-0.006004377,-0.00626697,657.1300163269043
-0.003100848,-8.7096e-06,-0.003088357,-0.005956858,-0.006215128,658.9169743061066
-0.003052539,-8.9585e-06,-0.003060952,-0.005909148,-0.00616492,660.6869790554047
-0.00303788,-8.635e-06,-0.003062226,-0.005862075,-0.006114915,662.4553198814392
-0.003076502,-8.8838e-06,-0.003090396,-0.005815321,-0.006065879,664.2173171043396
-0.003041194,-8.6847e-06,-0.003081346,-0.005768975,-0.006017557,665.9866945743561
-0.00304693,-8.6599e-06,-0.003058147,-0.005722628,-0.005969528,667.794600725174
-0.003021182,-8.6847e-06,-0.003039155,-0.005676218,-0.005921181,669.5558040142059
-0.003076502,-8.7096e-06,-0.003043616,-0.005630968,-0.005874261,671.3254013061523
-0.003049352,-8.7345e-06,-0.003070639,-0.00558712,-0.00582715,673.0849628448486
-0.003032272,-8.9087e-06,-0.003019908,-0.005542074,-0.005780459,674.8550803661346
-0.003029213,-8.5852e-06,-0.003039155,-0.005498532,-0.005733297,676.6256232261658
-0.003057255,-8.834e-06,-0.003039665,-0.005454697,-0.005686862,678.3845663070679
-0.003082366,-8.834e-06,-0.003065923,-0.005410747,-0.005639508,680.164431810379
-0.003061589,-8.7345e-06,-0.003062609,-0.005366771,-0.005591977,681.936398267746
-0.003089504,-8.7345e-06,-0.00308313,-0.005323662,-0.00554521,683.7072942256927
-0.003058147,-8.8092e-06,-0.003007161,-0.00528063,-0.005498481,685.4780490398407
-0.003079434,-8.9087e-06,-0.003075992,-0.005237878,-0.005452402,687.2368829250336
-0.003079689,-8.7594e-06,-0.003081218,-0.005196032,-0.005407509,689.0067765712738
-0.003075355,-8.6101e-06,-0.003082111,-0.005154504,-0.005362794,690.7769703865051
-0.003093965,-8.5852e-06,-0.003040302,-0.005113116,-0.005318589,692.5379412174225
-0.003093455,-8.9585e-06,-0.003091926,-0.005071511,-0.005274142,694.3153054714203
-0.003062864,-8.9087e-06,-0.003109261,-0.005031054,-0.005230409,696.0864341259003
-0.003081218,-8.7843e-06,-0.003090651,-0.004990023,-0.005186102,697.8512010574341
-0.003087209,-9.058e-06,-0.003067962,-0.004949246,-0.005141884,699.6157186031342
-0.003032909,-8.4608e-06,-0.003082111,-0.004909133,-0.005098546,701.3984031677246
-0.003069619,-8.7096e-06,-0.003091671,-0.004869517,-0.005056623,703.1624774932861
-0.003088484,-9.0082e-06,-0.003091671,-0.004830411,-0.005015184,704.9383547306061
-0.003032527,-8.8589e-06,-0.003075355,-0.00479133,-0.004975173,706.7056829929352
-0.0030027,-8.7594e-06,-0.003063373,-0.004752657,-0.004936372,708.4848012924194
-0.003008308,-8.8092e-06,-0.003048715,-0.004714201,-0.004897253,710.2547011375427
-0.003042597,-8.7345e-06,-0.003035204,-0.004676242,-0.00485918,712.0255155563354
-0.003064138,-8.7345e-06,-0.003058657,-0.004638933,-0.004821947,713.7963156700134
-0.003084788,-8.9336e-06,-0.003048205,-0.004601636,-0.004784409,715.5767176151276
