Base,Current,Time,Volt
-1.676e-06,-6.359e-07,87.50387811660767,-1.5372e-05
-1.221e-06,-6.105e-07,88.55385518074036,-1.5424e-05
-1.104e-06,-4.833e-07,89.62378191947937,-1.5788e-05
-8.06e-07,-4.579e-07,90.67371726036072,-1.6138e-05
-1.312e-06,-5.087e-07,91.72903251647949,-1.5866e-05
-1.001e-06,-5.85e-07,92.78360605239868,-1.6515e-05
-9.88e-07,-3.815e-07,93.83393049240112,-1.6333e-05
-8.45e-07,-5.087e-07,94.89414477348328,-1.606e-05
-1.494e-06,-5.85e-07,95.95415234565735,-1.6281e-05
-1.26e-06,-5.85e-07,96.99926686286926,-1.6541e-05
-9.49e-07,-5.087e-07,98.05466032028198,-1.6177e-05
-1.065e-06,-5.342e-07,99.11502003669739,-1.5904e-05
-1.481e-06,-4.324e-07,100.17454648017883,-1.5814e-05
-1.728e-06,-6.613e-07,101.21445631980896,-1.619e-05
-1.52e-06,-7.122e-07,102.2742691040039,-1.5814e-05
-9.49e-07,-6.868e-07,103.32405233383179,-1.4956e-05
-1.156e-06,-4.579e-07,104.37362360954285,-1.5463e-05
-1.312e-06,-5.596e-07,105.434490442276,-1.5112e-05
-1.027e-06,-4.833e-07,106.48464465141296,-1.5307e-05
-1.26e-06,-5.85e-07,107.53476214408875,-1.5372e-05
-1.429e-06,-5.087e-07,108.59311294555664,-1.4917e-05
-1.117e-06,-4.07e-07,109.64421200752258,-1.5736e-05
-1.117e-06,-4.324e-07,110.69339060783386,-1.5891e-05
-1.442e-06,-4.833e-07,111.76339221000671,-1.6255e-05
-1.273e-06,-5.342e-07,112.81493592262268,-1.593e-05
-6.24e-07,-5.342e-07,113.86363244056702,-1.6216e-05
-1.053e-06,-6.613e-07,114.92115712165833,-1.6125e-05
-1.247e-06,-5.087e-07,115.97226929664612,-1.584e-05
-1.338e-06,-6.359e-07,117.03432989120483,-1.6814e-05
-1.208e-06,-5.342e-07,118.09465622901917,-1.6112e-05
-1.468e-06,-4.833e-07,119.14402389526367,-1.6294e-05
-1.351e-06,-4.579e-07,120.19374227523804,-1.6359e-05
-1.312e-06,-5.342e-07,121.25442242622375,-1.6242e-05
-9.75e-07,-6.868e-07,122.3043360710144,-1.619e-05
