Current,Supply_voltage,TEG1,TEG2,Time
-7.7391e-06,-0.002725973,0.001074607,-0.001089536,253.17272448539734
-7.7889e-06,-0.002694107,0.001074582,-0.001089931,254.66991257667542
-7.8884e-06,-0.002669251,0.001073817,-0.001090262,256.16274857521057
-7.764e-06,-0.002678684,0.001074225,-0.001090594,257.6578018665314
-7.6147e-06,-0.002660584,0.001076341,-0.001094774,259.1784484386444
-7.4903e-06,-0.002636493,0.001079642,-0.001100408,260.680472612381
0.014408543,-0.002631776,0.001083135,-0.001104793,262.10101437568665
0.014408543,4.9948179,0.00108947,-0.001102512,263.3815312385559
0.014408792,4.9947924,0.001109826,-0.001091091,264.64901542663574
0.014408792,4.9948179,0.00113704,-0.001076381,265.9140248298645
0.014408543,4.9948306,0.001164063,-0.001060831,267.1960437297821
0.014408293,4.9948179,0.001189492,-0.001045879,268.47144627571106
0.014408792,4.9948306,0.001211887,-0.001032686,269.7320806980133
0.014408792,4.9948051,0.001230803,-0.001020577,271.00957131385803
0.014408792,4.9948306,0.001246979,-0.001009258,272.2754764556885
0.014408044,4.994856,0.001261459,-0.000999163,273.5477783679962
0.01440929,4.9948433,0.001273695,-0.000989501,274.84083700180054
0.014408293,4.9948814,0.001284288,-0.000981086,276.0952091217041
0.014409041,4.9949323,0.001293389,-0.00097377,277.3785343170166
0.014408792,4.994945,0.001301266,-0.00096681,278.6557478904724
0.014408543,4.9949323,0.001307869,-0.000960501,279.9293701648712
0.014408543,4.9948814,0.001313617,-0.00095516,281.1982789039612
0.014408543,4.9948814,0.001318142,-0.000949717,282.4739534854889
0.014408543,4.9948433,0.001322706,-0.000945332,283.7489628791809
0.014408543,4.994856,0.001326313,-0.000940527,285.0181634426117
0.014408543,4.9948941,0.001329308,-0.000936282,286.2841444015503
0.014408792,4.9948687,0.001332202,-0.000933159,287.5489766597748
0.014408792,4.994856,0.001334547,-0.000929208,288.8265073299408
0.01440929,4.994856,0.001336383,-0.000926302,290.08176040649414
0.014408792,4.9948433,0.001338205,-0.000923625,291.34784722328186
0.014408792,4.9948687,0.001339646,-0.00092077,292.6335997581482
0.014408543,4.9948814,0.001340984,-0.000918029,293.90387630462646
0.014408792,4.9948306,0.001342284,-0.000915748,295.18341398239136
0.014408293,4.9948306,0.001342552,-0.000913657,296.45296144485474
0.014408293,4.994856,0.001343699,-0.000911809,297.7184545993805
0.014408792,4.9948433,0.001344961,-0.000909604,298.98407220840454
0.014409041,4.9948687,0.001345025,-0.000907985,300.25630593299866
0.014408293,4.9948814,0.001345904,-0.00090606,301.5320017337799
0.014408792,4.9948433,0.001347574,-0.000904097,302.8218424320221
0.014408293,4.994856,0.00134867,-0.000902734,304.0915324687958
0.014408792,4.9949196,0.001348505,-0.000901395,305.36167001724243
0.014408792,4.9949069,0.001349524,-0.000899751,306.6254074573517
0.014409041,4.9948687,0.00135048,-0.00089803,307.8921899795532
0.014408792,4.9948179,0.001350939,-0.000897074,309.17381978034973
0.014408792,4.9949069,0.001352367,-0.00089571,310.4566478729248
0.014408792,4.9949323,0.001352685,-0.000894703,311.7385666370392
0.014408543,4.9948433,0.001352889,-0.000893416,313.02002215385437
0.014409041,4.9948687,0.001353858,-0.00089232,314.281836271286
0.01440929,4.9948941,0.001354674,-0.000890879,315.56665420532227
0.014408543,4.9949069,0.001355464,-0.000889923,316.8339786529541
0.014408543,4.9948814,0.001356471,-0.00088847,318.10379219055176
0.014409041,4.9949577,0.001357618,-0.000887361,319.3757162094116
0.014408543,4.9948814,0.001358217,-0.000886074,320.645432472229
0.014408543,4.9949069,0.001358829,-0.000885003,321.90889024734497
0.014408543,4.9948433,0.001359428,-0.000883881,323.18522572517395
0.014409041,4.994856,0.001360333,-0.0008829,324.4608118534088
0.014409041,4.9949069,0.001360537,-0.000882084,325.73118829727173
0.014408543,4.994767,0.001361111,-0.000881217,327.0207431316376
0.014408543,4.9948433,0.001361812,-0.000880006,328.2876024246216
0.014408543,4.9948814,0.001362092,-0.000879331,329.55750370025635
0.014408543,4.9948433,0.001362589,-0.000878222,330.8188650608063
0.014408543,4.9948433,0.001362487,-0.000877585,332.0856671333313
0.014408543,4.9948179,0.001362717,-0.000876947,333.36762857437134
0.014408543,4.9948179,0.001363341,-0.000875915,334.6334960460663
0.014408792,4.9948179,0.001363686,-0.000875736,335.91116547584534
0.014408792,4.9948687,0.001363902,-0.000874538,337.18663573265076
0.014408543,4.9948306,0.001363902,-0.000873799,338.45829010009766
0.014408792,4.9948306,0.001363737,-0.000873557,339.7295618057251
0.014408293,4.9948306,0.001364081,-0.000872563,340.9985008239746
0.014409041,4.9948687,0.001363813,-0.00087204,342.26940727233887
0.014409041,4.9948306,0.001364387,-0.000871262,343.53677582740784
0.014409041,4.9949323,0.001364234,-0.000870141,344.7918310165405
