Time,Current,Voltage
2744.666505,1.09E-06,-1.91E-07
2746.037787,1.04E-06,1.02E-07
2747.392786,1.08E-06,-1.91E-07
2748.743775,1.07E-06,-1.78E-07
2750.097606,1.02E-06,4.84E-07
2751.452352,9.68E-07,-2.55E-07
2752.821122,9.56E-07,-1.53E-07
2754.174357,1.01E-06,1.02E-07
2755.532663,1.04E-06,-1.15E-07
2756.883043,1.04E-06,1.53E-07
2758.252625,1.03E-06,7.60E-08
2759.613104,1.02E-06,-6.40E-08
2760.965568,1.03E-06,-3.06E-07
2762.332266,1.03E-06,3.82E-07
2763.683519,9.83E-07,-1.15E-07
2765.042941,9.78E-07,-7.60E-08
2766.402194,1.02E-06,3.06E-07
2767.752225,1.04E-06,-3.06E-07
2769.105682,1.09E-06,-7.60E-08
2770.463233,1.01E-06,1.30E-08
2771.828509,9.71E-07,0
2773.184362,9.85E-07,5.10E-08
2774.53288,9.33E-07,-1.66E-07
2775.883733,9.71E-07,-3.06E-07
2777.252286,1.01E-06,1.27E-07
2778.612441,1.09E-06,1.30E-08
2779.969049,1.07E-06,-3.95E-07
2781.322559,1.05E-06,-4.08E-07
2782.692297,9.85E-07,2.42E-07
2784.049553,9.83E-07,-2.80E-07
2785.403422,1.05E-06,-8.90E-08
2786.752658,1.04E-06,-2.93E-07
2788.123449,1.05E-06,1.91E-07
2789.487652,9.81E-07,1.91E-07
2790.847282,9.81E-07,2.55E-07
2792.205191,1.04E-06,-3.44E-07
2793.54319,9.61E-07,7.60E-08
2794.909021,1.01E-06,1.15E-07
2796.27378,9.61E-07,1.15E-07
2797.623766,9.21E-07,-3.06E-07
2798.984302,9.98E-07,-2.17E-07
2800.343853,9.81E-07,1.40E-07
2801.705086,9.63E-07,-6.40E-08
2803.062343,1.03E-06,-2.93E-07
2804.405394,1.05E-06,-4.21E-07
2805.762891,1.04E-06,-7.60E-08
2807.154456,9.71E-07,7.60E-08
2808.514062,1.03E-06,-1.30E-08
2809.874217,9.95E-07,-4.46E-07
2811.230402,1.03E-06,6.40E-08
2812.573109,1.01E-06,1.53E-07
2813.93288,1.01E-06,3.80E-08
2815.294721,1.12E-06,-2.04E-07
2816.653158,9.56E-07,-3.70E-07
2818.018892,9.41E-07,3.80E-08
2819.364647,9.48E-07,-3.44E-07
2820.734497,9.90E-07,-2.29E-07
2822.092153,9.36E-07,1.78E-07
2823.437457,9.31E-07,1.27E-07
2824.796192,9.85E-07,-6.40E-08
2826.158952,1.04E-06,-1.15E-07
2827.514343,9.26E-07,-1.91E-07
2828.874691,1.02E-06,-1.91E-07
2830.23272,9.41E-07,5.10E-08
2831.594715,9.98E-07,2.68E-07
2832.949175,1.04E-06,-2.29E-07
2834.294072,9.76E-07,3.06E-07
2835.654573,9.38E-07,1.27E-07
2837.020781,9.90E-07,2.50E-08
2838.373511,9.93E-07,-8.90E-08
2839.714884,1.07E-06,-2.93E-07
2841.081539,9.56E-07,-1.78E-07
2842.435679,1.02E-06,-3.44E-07
2843.800406,9.66E-07,0
2845.166119,1.02E-06,1.91E-07
2846.524761,9.95E-07,-8.90E-08
2847.863868,9.06E-07,-1.27E-07
2849.232928,9.13E-07,2.50E-08
2850.595197,9.38E-07,-1.78E-07
2851.941826,9.71E-07,-2.50E-08
2853.295244,9.71E-07,-1.78E-07
2854.647034,9.98E-07,5.10E-08
2856.014551,9.38E-07,3.95E-07
2857.363518,9.18E-07,1.30E-08
2858.711845,9.23E-07,-1.66E-07
2860.084193,9.81E-07,2.42E-07
2861.453897,9.73E-07,-2.42E-07
2862.824249,9.28E-07,-3.82E-07
2864.176181,1.01E-06,-1.27E-07
2865.534951,8.81E-07,-3.06E-07
2866.889666,8.98E-07,1.40E-07
2868.251883,9.53E-07,-2.93E-07
2869.606035,9.13E-07,-1.27E-07
2870.964288,9.28E-07,3.80E-08
2872.313572,9.21E-07,-6.40E-08
2873.679261,9.85E-07,1.53E-07
2875.041143,9.23E-07,-7.60E-08
2876.395627,9.28E-07,-5.10E-08
2877.753476,9.43E-07,2.17E-07
2879.119543,1.01E-06,3.57E-07
2880.473536,9.93E-07,3.80E-08
2881.834502,8.61E-07,-2.17E-07
2883.186075,9.06E-07,-6.40E-08
2884.555199,9.26E-07,-7.60E-08
2885.917211,9.23E-07,3.31E-07
2887.270449,8.88E-07,1.02E-07
2888.62042,9.58E-07,-2.68E-07
2889.977972,9.13E-07,4.08E-07
2891.343719,9.08E-07,2.29E-07
2892.697786,9.61E-07,-3.44E-07
2894.051215,8.56E-07,-1.91E-07
2895.40777,9.13E-07,-3.95E-07
2896.760303,8.76E-07,6.40E-08
2898.112481,9.21E-07,-3.19E-07
2899.4718,8.96E-07,-2.04E-07
2900.827354,8.96E-07,-3.95E-07
2902.192631,9.78E-07,-2.55E-07
2903.555628,9.95E-07,-2.17E-07
2904.904777,8.78E-07,-2.50E-08
2906.255733,9.41E-07,0
2907.624097,9.66E-07,7.60E-08
2908.975126,8.91E-07,-3.70E-07
2910.335493,9.26E-07,-1.53E-07
2911.688546,9.58E-07,-2.17E-07
2913.056474,9.78E-07,3.57E-07
2914.404435,9.23E-07,-2.42E-07
2915.754838,8.69E-07,-5.48E-07
2917.120395,9.48E-07,1.40E-07
2918.482242,8.61E-07,-6.40E-08
2919.833967,9.03E-07,-3.80E-08
2921.185636,9.33E-07,-2.80E-07
2922.535945,9.31E-07,1.30E-08
2923.898881,1.01E-06,6.76E-07
2925.253952,9.58E-07,-5.10E-08
2926.605783,9.66E-07,6.40E-08
2927.960871,9.76E-07,-3.44E-07
2929.328572,9.08E-07,-2.50E-08
2930.675346,9.16E-07,-5.10E-08
2932.03803,9.58E-07,-7.60E-08
2933.396804,8.54E-07,-1.02E-07
2934.760257,8.69E-07,-5.10E-08
2936.114355,9.33E-07,-2.68E-07
2937.4496,9.16E-07,3.44E-07
2938.810529,9.01E-07,-3.57E-07
2940.176028,9.23E-07,3.80E-08
2941.529636,9.53E-07,-1.30E-08
2942.872087,8.64E-07,-1.02E-07
2944.236068,8.83E-07,-4.33E-07
2945.596493,9.63E-07,-1.02E-07
2946.956521,9.71E-07,-1.40E-07
2948.304684,9.01E-07,1.30E-08
2949.665534,8.78E-07,8.90E-08
2951.040397,9.26E-07,2.04E-07
2952.385708,9.21E-07,1.27E-07
2953.741476,8.98E-07,-1.66E-07
2955.100467,9.16E-07,1.30E-08
2956.454876,8.56E-07,2.50E-08
2957.811528,8.88E-07,3.80E-08
2959.176333,8.46E-07,-1.30E-08
2960.515036,9.26E-07,1.78E-07
2961.886131,9.11E-07,-2.55E-07
2963.255739,8.93E-07,-1.40E-07
2964.606935,8.86E-07,1.15E-07
2965.952841,8.91E-07,-4.84E-07
2967.307848,9.33E-07,-2.55E-07
2968.677595,9.26E-07,-3.82E-07
2970.033077,8.74E-07,2.29E-07
2971.386286,8.96E-07,-1.91E-07
2972.729947,8.93E-07,8.90E-08
2974.108962,9.21E-07,6.40E-08
2975.475353,8.81E-07,-1.78E-07
